latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.226713,-99.08011,2597.0,0,GMT,GMT
,,
ts,temp_2m,rain_mm
2023-08-18T00:00,14.3,0.20
2023-08-18T01:00,14.3,0.40
2023-08-18T02:00,13.5,3.00
2023-08-18T03:00,13.0,0.90
2023-08-18T04:00,13.2,0.50
2023-08-18T05:00,13.0,0.10
2023-08-18T06:00,12.0,0.00
2023-08-18T07:00,11.1,0.00
2023-08-18T08:00,11.0,0.00
2023-08-18T09:00,11.0,0.00
2023-08-18T10:00,10.3,0.00
2023-08-18T11:00,10.1,0.00
2023-08-18T12:00,10.5,0.00
2023-08-18T13:00,10.3,0.00
2023-08-18T14:00,13.8,0.00
2023-08-18T15:00,15.2,0.00
2023-08-18T16:00,16.3,0.20
2023-08-18T17:00,17.9,0.20
2023-08-18T18:00,18.5,0.30
2023-08-18T19:00,18.0,0.90
2023-08-18T20:00,17.8,5.20
2023-08-18T21:00,18.4,0.20
2023-08-18T22:00,18.1,0.80
2023-08-18T23:00,15.9,1.20
2023-08-19T00:00,17.6,0.00
2023-08-19T01:00,16.0,0.40
2023-08-19T02:00,13.7,7.00
2023-08-19T03:00,14.1,0.60
2023-08-19T04:00,14.2,0.60
2023-08-19T05:00,13.5,1.00
2023-08-19T06:00,13.5,0.30
2023-08-19T07:00,12.9,0.10
2023-08-19T08:00,12.8,0.00
2023-08-19T09:00,12.8,0.00
2023-08-19T10:00,11.8,0.00
2023-08-19T11:00,11.9,0.00
2023-08-19T12:00,11.6,0.00
2023-08-19T13:00,12.8,0.00
2023-08-19T14:00,13.7,0.00
2023-08-19T15:00,15.4,0.10
2023-08-19T16:00,16.7,0.10
2023-08-19T17:00,18.0,0.10
2023-08-19T18:00,19.2,0.30
2023-08-19T19:00,19.3,0.20
2023-08-19T20:00,20.0,0.20
2023-08-19T21:00,19.0,0.10
2023-08-19T22:00,18.9,0.20
2023-08-19T23:00,18.0,0.10
2023-08-20T00:00,15.0,5.60
2023-08-20T01:00,15.1,2.60
2023-08-20T02:00,13.9,2.50
2023-08-20T03:00,13.7,0.20
2023-08-20T04:00,12.8,0.10
2023-08-20T05:00,12.8,0.10
2023-08-20T06:00,12.6,0.00
2023-08-20T07:00,12.4,0.00
2023-08-20T08:00,12.2,0.00
2023-08-20T09:00,11.9,0.10
2023-08-20T10:00,11.9,0.00
2023-08-20T11:00,11.9,0.10
2023-08-20T12:00,12.0,0.00
2023-08-20T13:00,11.7,0.20
2023-08-20T14:00,12.2,0.20
2023-08-20T15:00,13.1,0.00
2023-08-20T16:00,14.4,0.00
2023-08-20T17:00,15.6,0.00
2023-08-20T18:00,16.8,0.10
2023-08-20T19:00,16.2,0.20
2023-08-20T20:00,16.6,0.10
2023-08-20T21:00,17.7,0.10
2023-08-20T22:00,16.3,0.00
2023-08-20T23:00,15.7,0.10
2023-08-21T00:00,15.1,0.10
2023-08-21T01:00,13.1,0.00
2023-08-21T02:00,12.9,0.00
2023-08-21T03:00,12.4,0.00
2023-08-21T04:00,11.9,0.00
2023-08-21T05:00,12.0,0.00
2023-08-21T06:00,11.9,0.40
2023-08-21T07:00,11.5,0.40
2023-08-21T08:00,11.3,0.20
2023-08-21T09:00,10.9,0.00
2023-08-21T10:00,10.6,0.00
2023-08-21T11:00,8.8,0.00
2023-08-21T12:00,9.8,0.00
2023-08-21T13:00,10.3,0.00
2023-08-21T14:00,12.3,0.00
2023-08-21T15:00,13.8,0.00
2023-08-21T16:00,15.5,0.00
2023-08-21T17:00,16.7,0.00
2023-08-21T18:00,18.1,0.00
2023-08-21T19:00,18.2,0.70
2023-08-21T20:00,19.0,0.10
2023-08-21T21:00,19.2,0.30
2023-08-21T22:00,18.2,0.30
2023-08-21T23:00,18.1,0.10
2023-08-22T00:00,14.1,0.00
2023-08-22T01:00,13.3,0.80
2023-08-22T02:00,12.9,0.30
2023-08-22T03:00,12.7,0.40
2023-08-22T04:00,12.3,0.10
2023-08-22T05:00,12.2,0.00
2023-08-22T06:00,11.9,0.40
2023-08-22T07:00,12.1,0.30
2023-08-22T08:00,12.0,0.30
2023-08-22T09:00,11.7,0.00
2023-08-22T10:00,10.9,0.00
2023-08-22T11:00,9.8,0.00
2023-08-22T12:00,12.5,0.00
2023-08-22T13:00,12.3,0.00
